rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,metformin,repurposing_candidate,3POZ,EGFR,WT,0.23,-3.66252,1.01588,0.87666,4.16725
1,metformin,repurposing_candidate,4I24,EGFR,T790M,0.43,-3.72629,1.00973,0.76642,4.10812
1,metformin,repurposing_candidate,4LDJ,KRAS,G12C,0.38,-4.2685,1.38143,0.73442,3.4166
1,metformin,repurposing_candidate,5UGC,EGFR,L858R+T790M,0.39,-4.00558,0.51231,0.89252,4.06404
1,metformin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-4.07,-2.25535,5.24111,0.72393,3.13344
1,metformin,repurposing_candidate,8A2B,EGFR,L858R,0.65,-3.79106,0.48764,0.91524,4.52714
1,metformin,repurposing_candidate,8FMI,KRAS,WT,-0.1,-4.03841,0.91947,0.74224,3.93944
1,neratinib,egfr_family,3POZ,EGFR,WT,-0.41,-8.46736,2.10509,0.72225,8.56918
1,neratinib,egfr_family,4I24,EGFR,T790M,-0.51,-7.87282,1.35028,0.93183,9.08456
1,neratinib,egfr_family,4LDJ,KRAS,G12C,-1.99,-4.5133,3.37399,0.04488,5.08055
1,neratinib,egfr_family,5UGC,EGFR,L858R+T790M,-1.0,2.08377,1.77223,0.69553,8.53628
1,neratinib,egfr_family,6OIM,KRAS,G12C+sotorasib,-2.77,-3.71251,13.46616,0.05783,4.55873
1,neratinib,egfr_family,8A2B,EGFR,L858R,-0.6,-7.97004,2.44674,0.41429,7.69151
1,neratinib,egfr_family,8FMI,KRAS,WT,-1.22,-4.92849,1.62792,0.05412,5.59564
1,osimertinib,known_answer,3POZ,EGFR,WT,-0.64,-6.17341,1.46862,0.63478,7.90157
1,osimertinib,known_answer,4I24,EGFR,T790M,-0.62,-7.50724,2.22393,0.19249,7.60688
1,osimertinib,known_answer,4LDJ,KRAS,G12C,-1.47,-4.47141,2.22788,0.08774,5.47831
1,osimertinib,known_answer,5UGC,EGFR,L858R+T790M,-1.44,-7.18623,5.62338,0.01413,6.27888
1,osimertinib,known_answer,6OIM,KRAS,G12C+sotorasib,-3.63,23.89191,7.21148,0.1427,5.58309
1,osimertinib,known_answer,8A2B,EGFR,L858R,-0.88,-6.64548,2.45934,0.09921,6.81157
1,osimertinib,known_answer,8FMI,KRAS,WT,-1.56,-4.99084,1.85278,0.09937,6.04952
1,ponatinib,multi_kinase,3POZ,EGFR,WT,-1.8,-9.05815,4.09177,0.11997,6.70157
1,ponatinib,multi_kinase,4I24,EGFR,T790M,-2.22,13.36816,3.73474,0.4895,7.40125
1,ponatinib,multi_kinase,4LDJ,KRAS,G12C,-2.1,-6.94398,1.61256,0.0846,6.03008
1,ponatinib,multi_kinase,5UGC,EGFR,L858R+T790M,-2.23,5.72146,3.7161,0.43466,7.13238
1,ponatinib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-3.13,3.65161,10.69092,0.0629,5.41472
1,ponatinib,multi_kinase,8A2B,EGFR,L858R,-1.05,-10.62396,2.39655,0.2799,7.20212
1,ponatinib,multi_kinase,8FMI,KRAS,WT,-2.04,-8.11729,1.6305,0.10224,6.07928
1,propranolol,repurposing_candidate,3POZ,EGFR,WT,-0.35,-7.71234,1.25916,0.49129,5.36396
1,propranolol,repurposing_candidate,4I24,EGFR,T790M,-0.42,-7.02982,1.63422,0.36582,4.54289
1,propranolol,repurposing_candidate,4LDJ,KRAS,G12C,-1.06,-5.45807,0.99427,0.69317,4.06969
1,propranolol,repurposing_candidate,5UGC,EGFR,L858R+T790M,-0.86,-6.53112,1.12768,0.38985,5.10626
1,propranolol,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.76,-4.12184,4.25615,0.19344,3.20623
1,propranolol,repurposing_candidate,8A2B,EGFR,L858R,-1.08,-6.91356,2.60293,0.17427,4.47816
1,propranolol,repurposing_candidate,8FMI,KRAS,WT,-1.32,-5.34344,0.98337,0.35276,3.79277
1,simvastatin,repurposing_candidate,3POZ,EGFR,WT,-1.78,-5.5572,2.7409,0.16434,5.62294
1,simvastatin,repurposing_candidate,4I24,EGFR,T790M,-2.09,5.04732,2.79951,0.31779,6.23805
1,simvastatin,repurposing_candidate,4LDJ,KRAS,G12C,-1.31,-6.3752,1.78411,0.10256,4.65399
1,simvastatin,repurposing_candidate,5UGC,EGFR,L858R+T790M,-1.74,-6.60672,1.90095,0.40725,6.81983
1,simvastatin,repurposing_candidate,6OIM,KRAS,G12C+sotorasib,-3.03,11.97097,4.56156,0.55145,5.79303
1,simvastatin,repurposing_candidate,8A2B,EGFR,L858R,-1.65,-4.89361,1.40823,0.14919,5.681
1,simvastatin,repurposing_candidate,8FMI,KRAS,WT,-1.24,-5.44272,1.98034,0.12285,5.39419
1,sorafenib,multi_kinase,3POZ,EGFR,WT,-1.7,-9.19589,4.09365,0.19042,6.5361
1,sorafenib,multi_kinase,4I24,EGFR,T790M,-1.65,-4.37469,2.39143,0.25652,6.91445
1,sorafenib,multi_kinase,4LDJ,KRAS,G12C,-2.4,-5.78733,2.13969,0.31957,5.84831
1,sorafenib,multi_kinase,5UGC,EGFR,L858R+T790M,-1.36,0.80113,1.23785,0.87496,7.64482
1,sorafenib,multi_kinase,6OIM,KRAS,G12C+sotorasib,-3.58,15.26025,5.46478,0.40145,5.74181
1,sorafenib,multi_kinase,8A2B,EGFR,L858R,-0.28,-10.19009,1.34865,0.81248,7.14437
1,sorafenib,multi_kinase,8FMI,KRAS,WT,-1.18,-5.95071,2.64575,0.20068,5.49897
1,sotorasib,known_answer,3POZ,EGFR,WT,-2.52,-6.88401,3.20338,0.05076,7.18725
1,sotorasib,known_answer,4I24,EGFR,T790M,-2.15,1.95908,1.43347,0.3272,7.66955
1,sotorasib,known_answer,4LDJ,KRAS,G12C,-3.87,-6.5565,3.0883,0.51012,6.88601
1,sotorasib,known_answer,5UGC,EGFR,L858R+T790M,-2.06,-5.88864,6.08616,0.01277,5.17664
1,sotorasib,known_answer,6OIM,KRAS,G12C+sotorasib,-0.68,-6.63614,0.87429,0.54859,7.72814
