rep,drug,category,pdb,target,state,diffdock_confidence,gnina_affinity,gnina_minimize_rmsd,gnina_cnn_score,gnina_cnn_affinity
1,etidocaine,approved_library,5UGC,EGFR,L858R+T790M,-0.79,-6.03665,1.17571,0.28931,5.20671
1,etodolac,approved_library,3POZ,EGFR,WT,-0.77,-6.94472,2.19027,0.14775,5.16278
1,etodolac,approved_library,5UGC,EGFR,L858R+T790M,-0.77,-7.43089,1.68741,0.25955,5.03219
1,etoricoxib,approved_library,3POZ,EGFR,WT,-0.49,-7.6279,2.0694,0.35372,6.65322
1,etoricoxib,approved_library,5UGC,EGFR,L858R+T790M,-0.96,-5.93375,2.61669,0.06253,4.9179
1,etretinate,approved_library,3POZ,EGFR,WT,-0.56,-5.00289,2.47955,0.37351,6.45521
1,etretinate,approved_library,5UGC,EGFR,L858R+T790M,-1.15,-2.22702,1.30603,0.49008,6.20696
1,fenclofenac,approved_library,3POZ,EGFR,WT,-0.05,-7.53237,0.92589,0.30177,5.57957
1,fenclofenac,approved_library,5UGC,EGFR,L858R+T790M,-1.18,-7.4629,1.64486,0.42006,5.51901
1,fenoldopam,approved_library,3POZ,EGFR,WT,0.36,-8.01065,0.68877,0.49895,5.92107
1,fenoldopam,approved_library,5UGC,EGFR,L858R+T790M,0.62,-9.73069,0.68134,0.81421,6.48439
1,fentanyl,approved_library,3POZ,EGFR,WT,-0.54,-8.83397,1.20683,0.26077,5.72708
1,fentanyl,approved_library,5UGC,EGFR,L858R+T790M,-1.66,-8.03694,2.11366,0.20769,4.99731
1,fluconazole,approved_library,3POZ,EGFR,WT,-0.48,-6.07054,0.9363,0.35879,6.0964
1,fluconazole,approved_library,5UGC,EGFR,L858R+T790M,-1.38,-6.7319,2.33465,0.23222,6.01369
1,flumazenil,approved_library,3POZ,EGFR,WT,0.09,-7.45555,0.88164,0.81438,6.26835
1,flumazenil,approved_library,5UGC,EGFR,L858R+T790M,-1.8,-6.66798,5.34451,0.58085,5.67252
1,flunitrazepam,approved_library,3POZ,EGFR,WT,-0.15,-8.57892,0.76942,0.78154,6.50226
1,flunitrazepam,approved_library,5UGC,EGFR,L858R+T790M,-2.0,-8.80416,2.42836,0.62832,6.42079
1,fluoxetine,approved_library,3POZ,EGFR,WT,-0.49,-6.23713,1.05886,0.51726,5.79885
1,fluoxetine,approved_library,5UGC,EGFR,L858R+T790M,-0.42,-7.76502,0.70191,0.36359,5.26464
1,flurbiprofen,approved_library,3POZ,EGFR,WT,-0.51,-6.84672,0.9896,0.64159,5.75162
1,flurbiprofen,approved_library,5UGC,EGFR,L858R+T790M,-0.14,-6.50768,0.89295,0.21213,4.59747
1,furosemide,approved_library,3POZ,EGFR,WT,-0.17,-7.14409,1.32966,0.44497,5.50062
1,furosemide,approved_library,5UGC,EGFR,L858R+T790M,-0.98,-6.62145,2.44873,0.5698,6.19555
1,gatifloxacin,approved_library,3POZ,EGFR,WT,-0.96,-7.72214,1.06018,0.04542,5.18021
1,gatifloxacin,approved_library,5UGC,EGFR,L858R+T790M,0.43,-7.84464,0.94266,0.51882,6.69612
1,gefitinib,known_answer,3POZ,EGFR,WT,-0.16,-7.7691,1.04821,0.939,8.08974
1,gefitinib,known_answer,5UGC,EGFR,L858R+T790M,-1.57,-7.01336,4.83538,0.13863,6.38757
1,gemfibrozil,approved_library,3POZ,EGFR,WT,-1.06,-5.54028,1.4348,0.32806,4.71467
1,gemfibrozil,approved_library,5UGC,EGFR,L858R+T790M,-1.24,-6.68305,1.57101,0.388,4.97136
1,gemifloxacin,approved_library,3POZ,EGFR,WT,-0.15,-7.45786,1.77616,0.56797,6.83987
1,gemifloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.23,-8.70789,1.68336,0.59604,7.07519
1,glyburide,approved_library,3POZ,EGFR,WT,-1.81,-8.39155,3.54774,0.21295,6.44451
1,glyburide,approved_library,5UGC,EGFR,L858R+T790M,-1.8,0.40252,1.099,0.58453,6.93458
1,grepafloxacin,approved_library,3POZ,EGFR,WT,-0.92,-8.34837,1.71682,0.0435,5.0267
1,grepafloxacin,approved_library,5UGC,EGFR,L858R+T790M,-0.22,-9.05981,2.53212,0.47137,6.79749
1,griseofulvin,approved_library,3POZ,EGFR,WT,-0.61,-6.57171,0.86474,0.16128,5.32645
1,griseofulvin,approved_library,5UGC,EGFR,L858R+T790M,-0.52,-0.24865,1.11108,0.59099,5.94009
1,guanabenz,approved_library,3POZ,EGFR,WT,-0.57,-5.96127,1.12126,0.70749,4.5675
1,guanabenz,approved_library,5UGC,EGFR,L858R+T790M,-0.28,-6.15681,0.88372,0.55431,4.96535
1,haloperidol,approved_library,3POZ,EGFR,WT,-0.23,-8.79745,1.41723,0.57854,6.5343
1,haloperidol,approved_library,5UGC,EGFR,L858R+T790M,-1.33,-7.13759,1.71688,0.33464,5.59708
1,hexachlorophene,approved_library,3POZ,EGFR,WT,-0.33,-5.87138,0.85261,0.47886,7.09966
1,hexachlorophene,approved_library,5UGC,EGFR,L858R+T790M,-1.59,-5.84279,2.23381,0.02794,5.73932
1,hexestrol,approved_library,3POZ,EGFR,WT,-0.03,-7.56459,1.28125,0.39956,5.88985
1,hexestrol,approved_library,5UGC,EGFR,L858R+T790M,-1.2,-6.03943,1.24413,0.63447,5.59445
1,hexobarbital,approved_library,3POZ,EGFR,WT,-1.15,-5.61257,1.49291,0.20286,4.89998
1,hexobarbital,approved_library,5UGC,EGFR,L858R+T790M,-0.13,-5.50645,1.9812,0.61769,5.78705
1,hydralazine,approved_library,3POZ,EGFR,WT,0.38,-6.14646,0.52082,0.89283,4.14629
1,hydralazine,approved_library,5UGC,EGFR,L858R+T790M,0.13,-6.48561,0.55345,0.947,4.65426
1,hydrochlorothiazide,approved_library,3POZ,EGFR,WT,-0.76,-5.89671,0.75267,0.71462,5.75469
1,hydrochlorothiazide,approved_library,5UGC,EGFR,L858R+T790M,-0.43,-6.49904,0.9593,0.83996,5.74283
1,ibudilast,approved_library,3POZ,EGFR,WT,0.17,-6.94601,0.68187,0.29233,5.10522
